Date,China,Italy,Iran,US,Canada,Pakistan,India,Afghanistan,PakistanR,ChinaR,ItalyR,IranR,USR
13FEB2020,15200.0,0.0,0.0,3.0,,0.0,,,0.0,1.0560514773293095e-05,0.0,0.0,9.063371519643812e-09
14FEB2020,4000.0,0.0,0.0,3.0,,0.0,,,0.0,2.77908283507713e-06,0.0,0.0,9.063371519643812e-09
15FEB2020,2600.0,0.0,0.0,3.0,,0.0,,,0.0,1.8064038428001346e-06,0.0,0.0,9.063371519643812e-09
16FEB2020,2000.0,0.0,0.0,3.0,,0.0,,,0.0,1.389541417538565e-06,0.0,0.0,9.063371519643812e-09
17FEB2020,2100.0,0.0,0.0,3.0,,0.0,,,0.0,1.4590184884154932e-06,0.0,0.0,9.063371519643812e-09
18FEB2020,1900.0,0.0,0.0,3.0,,0.0,,,0.0,1.3200643466616368e-06,0.0,0.0,9.063371519643812e-09
19FEB2020,1800.0,0.0,0.0,3.0,,0.0,,,0.0,1.2505872757847085e-06,0.0,0.0,9.063371519643812e-09
20FEB2020,396.0,0.0,5.0,3.0,,0.0,,,0.0,2.7512920067263586e-07,0.0,5.95288064001658e-08,9.063371519643812e-09
21FEB2020,892.0,0.0,13.0,3.0,,0.0,,,0.0,6.197354722222e-07,0.0,1.547748966404311e-07,9.063371519643812e-09
22FEB2020,825.0,7.0,10.0,20.0,,0.0,,,0.0,5.731858347346581e-07,1.1577553082832794e-07,1.190576128003316e-07,6.042247679762541e-08
23FEB2020,649.0,121.0,15.0,20.0,,0.0,,,0.0,4.5090618999126434e-07,2.001262747175383e-06,1.785864192004974e-07,6.042247679762541e-08
24FEB2020,221.0,121.0,4.0,20.0,,0.0,,,0.0,1.5354432663801143e-07,2.001262747175383e-06,4.7623045120132645e-08,6.042247679762541e-08
25FEB2020,517.0,97.0,14.0,18.0,,0.0,,,0.0,3.5919645643371903e-07,1.6043180700496873e-06,1.6668065792046425e-07,5.4380229117862866e-08
26FEB2020,412.0,145.0,78.0,18.0,,0.0,,,0.0,2.862455320129444e-07,2.3982074243010787e-06,9.286493798425865e-07,5.4380229117862866e-08
27FEB2020,439.0,154.0,106.0,6.0,,0.0,,,0.0,3.05004341149715e-07,2.5470616782232146e-06,1.262010695683515e-06,1.8126743039287623e-08
28FEB2020,329.0,122.0,106.0,3.0,,0.0,,,0.0,2.2857956318509393e-07,2.017802108722287e-06,1.262010695683515e-06,9.063371519643812e-09
29FEB2020,435.0,238.0,348.0,3.0,,0.0,,,0.0,3.022252583146379e-07,3.93636804816315e-06,4.14320492545154e-06,9.063371519643812e-09
1MAR2020,574.0,240.0,348.0,3.0,,2.0,,,9.054184495487712e-09,3.9879838683356816e-07,3.9694467712569585e-06,4.14320492545154e-06,9.063371519643812e-09
2MAR2020,206.0,561.0,908.0,3.0,,2.0,,,9.054184495487712e-09,1.431227660064722e-07,9.278581827813139e-06,1.081043124227011e-05,9.063371519643812e-09
